pilote_id,file,Corr,corr_a,corr_b,f1_test,Neutral,Open,Pistol,Thumb,OK,Grab
1,2023-05-15_16-16-08,0.2743561138873736,0.41287117964427394,0.2568767292635437,0.8338681910875507,0.9063606397265291,0.9205548549810845,0.6427503736920778,0.21739130434782608,0.8276797829036635,0.9086161879895561
1,2023-05-15_17-12-24,0.02054637992452065,0.19170666373954087,0.023858399755712696,0.6348807779574606,0.8073959938366718,0.785,0.12436974789915967,0.0,0.3198090692124105,0.3946360153256705
1,2023-06-05_16-12-38,0.3416754291941861,0.44818975733345623,0.33922504555446165,0.6332514652466179,0.794122502889219,0.7293354943273906,0.281786941580756,0.0,0.44126984126984126,0.5950413223140496
1,2023-06-05_17-53-01,0.35317237006056873,0.2643069621419128,0.4132031549459461,0.7046726367265714,0.819315188762072,0.7308584686774942,0.5914529914529915,0.10784313725490197,0.6058519793459552,0.6993197278911565
1,2023-06-20_14-43-11,0.08327988280771281,0.1794355400156839,0.18274222961209383,0.6567340378566794,0.7944453415146133,0.781437125748503,0.4404332129963899,0.18705035971223022,0.39344262295081966,0.5161290322580645
1,2023-06-20_13-30-15,0.2744426803714129,0.23575433690998052,0.38214885381316166,0.7295553061964147,0.8168767507002801,0.7800511508951407,0.424812030075188,0.2945054945054945,0.7794117647058824,0.7773049645390071
1,2023-06-20_12-34-17,0.36162175124333656,0.4143410578625703,0.3562532389057673,0.7361520772013337,0.8435492272964056,0.8396094839609484,0.6022544283413849,0.041666666666666664,0.677115987460815,0.7686274509803922
2,2023-09-30_08-06-44,0.40082181389782284,0.44322219749984443,0.35829865848735826,0.8762165537590137,0.9096989966555183,0.7852437417654808,0.8733905579399142,0.8693528693528694,0.7194444444444444,0.8996692392502756
2,2023-09-29_11-03-50,0.3464939865274615,0.38418234761335585,0.45684325214867366,0.8979889379844734,0.920257988859572,0.8475,0.8967082860385925,0.9336332958380202,0.7712082262210797,0.8844339622641509
2,2023-09-29_09-20-47,0.27187867395173815,0.36300833823347234,0.30867029436682963,0.9174531243058828,0.9386204800972349,0.8567931456548348,0.9153225806451613,0.9203539823008849,0.8726415094339622,0.8742791234140715
2,2023-09-13_22-14-05,0.24365316245060825,0.1875700409929277,0.2955791704220005,0.8667365523409112,0.9048128342245989,0.7381546134663342,0.87527352297593,0.8669527896995708,0.7010309278350515,0.8834080717488789
2,2023-09-12_14-59-23,0.09629299690958353,0.0833460793455121,0.13809602023948592,0.8377527508250365,0.8656545402463478,0.7900677200902935,0.808,0.8527724665391969,0.7523809523809524,0.7928994082840237
2,2023-09-12_12-55-22,0.23576311247308046,0.1965081748009908,0.20282488966636256,0.8565635783106829,0.8934800107324926,0.8084112149532711,0.9186991869918699,0.6421052631578947,0.7338501291989664,0.9191489361702128
2,2023-05-31_17-14-41,0.2539330291885394,0.3591485222262445,0.34745835264198527,0.8748922462942352,0.9200603318250377,0.8814229249011858,0.9168141592920354,0.5144356955380578,0.7455357142857143,0.9059233449477352
2,2023-05-31_15-46-37,0.18173203243876718,0.2691105111096292,0.23619589884125203,0.8596574900766853,0.9110863095238095,0.8744939271255061,0.9078260869565218,0.43304843304843305,0.6635071090047393,0.9466192170818505
2,2023-05-22_20-22-01,0.267330268787348,0.30769028101748475,0.19318159227804715,0.9176251413259009,0.9430702787593247,0.9021956087824351,0.8614800759013282,0.8953068592057761,0.8949416342412452,0.8072727272727273
2,2023-05-22_17-04-29,0.24703889902644524,0.36636559189545137,0.2925731130800421,0.9185838098570647,0.9434394904458598,0.7744807121661721,0.9136420525657072,0.9272727272727272,0.8464730290456431,0.9067357512953368
2,2023-05-19_12-04-02,0.20935588748004988,0.266678334859385,0.34211810034189877,0.8944017523132345,0.9404060248853962,0.824607329842932,0.8021857923497268,0.8797886393659181,0.7196870925684485,0.8342245989304813
3,2023-04-18_19-08-47 gestures train,0.22906236858379828,0.2657219573895433,0.2531710880451048,0.8464806792817797,0.9092324156046308,0.6792452830188679,0.888402625820569,0.45912653975363943,0.8482490272373541,0.9141989369779803
3,2023-05-07_16-54-27,0.28703345888016824,0.22687233847393623,0.2705291922443535,0.8204731793768609,0.8992337718664161,0.6978021978021978,0.7307206068268015,0.5818181818181818,0.719562243502052,0.7847295864262991
3,2023-05-07_15-19-05,0.10535378671095445,0.0809467577585191,0.126779275503242,0.880107837990605,0.9274215552523875,0.9537136706135629,0.8739495798319328,0.49925705794947994,0.8165938864628821,0.9273858921161826
3,2023-05-12_19-17-00,0.33845888004824554,0.31773286353587576,0.34701092152916946,0.8802435330928078,0.9164643030597377,0.8270042194092827,0.7947761194029851,0.8384458077709611,0.7734375,0.9155722326454033
4,2023-05-05_17-57-30,0.35363560485016915,0.41145579259653753,0.3303405791373052,0.9353852745916954,0.9485283456575323,0.9418103448275862,0.9212765957446809,0.8330275229357799,0.9311408016443987,0.9560669456066946
2,2023-10-25_11-08-46,0.0003389393392794187,0.08035678462910012,0.07839764122099722,0.43838676865280346,0.7379936955312442,0.0,0.0,0.019933554817275746,0.0,0.0
2,patched_2023-10-25_09-44-02,0.3783426580272295,0.4185881778086592,0.37127080102610754,0.8450820601021443,0.9033733562035449,0.6598540145985401,0.8612652608213096,0.8146399055489965,0.5565476190476191,0.9244644870349493
2,2023-10-25_08-52-30,0.3745491182360337,0.411275939943444,0.4061873419242864,0.8500560646285996,0.9026141913243321,0.7855297157622739,0.8646706586826347,0.776878612716763,0.5425219941348973,0.9126436781609195
